*******************************************************************************,,,,,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 20:57:57,,,,,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,,,,,
 ,,,,,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,,,,,
 ,,,,,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,,,,,
 ,,,,,,,,,,
Comet physical (GM= km^3/s^2, RAD= km):,,,,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,,,,,
 ,,,,,,,,,,
COMET comments ,,,,,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,,,,,
2: k1=20.75, k2=5., phase coef.=0.03,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Tue Mar  7 20:57:57 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: McNaught (C/2006 P1)            {source: JPL#27},,,,,,,,,,
2453928.499, A.D. 2006-Jul-11 23:59:00.0000,-1.91E+07,-5.09E+08,1.61E+07,1.93E+00,2.23E+01,4.29E+00,1.70E+03,5.09E+08,-2.23E+01
2453959.499, A.D. 2006-Aug-11 23:59:00.0000,-1.38E+07,-4.47E+08,2.75E+07,1.98E+00,2.39E+01,4.22E+00,1.49E+03,4.48E+08,-2.36E+01
2453990.499, A.D. 2006-Sep-11 23:59:00.0000,-8.43E+06,-3.80E+08,3.86E+07,2.04E+00,2.60E+01,4.05E+00,1.27E+03,3.82E+08,-2.54E+01
2454020.499, A.D. 2006-Oct-11 23:59:00.0000,-3.08E+06,-3.09E+08,4.87E+07,2.09E+00,2.88E+01,3.68E+00,1.05E+03,3.13E+08,-2.79E+01
2454051.499, A.D. 2006-Nov-11 23:59:00.0000,2.53E+06,-2.27E+08,5.75E+07,2.09E+00,3.35E+01,2.72E+00,7.80E+02,2.34E+08,-3.18E+01
2454081.499, A.D. 2006-Dec-11 23:59:00.0000,7.71E+06,-1.30E+08,6.12E+07,1.79E+00,4.29E+01,-6.48E-01,4.79E+02,1.43E+08,-3.89E+01
2454112.499, A.D. 2007-Jan-11 23:59:00.0000,4.74E+06,2.05E+07,1.62E+07,-1.57E+01,5.40E+01,-8.39E+01,8.86E+01,2.65E+07,-1.23E+01
2454143.499, A.D. 2007-Feb-11 23:59:00.0000,-2.95E+07,-3.42E+07,-1.31E+08,-8.29E+00,-2.81E+01,-3.25E+01,4.62E+02,1.38E+08,3.94E+01
2454171.499, A.D. 2007-Mar-11 23:59:00.0000,-4.65E+07,-9.76E+07,-1.96E+08,-6.13E+00,-2.46E+01,-2.32E+01,7.48E+02,2.24E+08,3.23E+01
2454202.499, A.D. 2007-Apr-11 23:59:00.0000,-6.14E+07,-1.60E+08,-2.52E+08,-5.08E+00,-2.21E+01,-1.89E+01,1.02E+03,3.05E+08,2.82E+01
2454232.499, A.D. 2007-May-11 23:59:00.0000,-7.37E+07,-2.15E+08,-2.98E+08,-4.48E+00,-2.05E+01,-1.64E+01,1.25E+03,3.74E+08,2.57E+01
2454263.499, A.D. 2007-Jun-11 23:59:00.0000,-8.51E+07,-2.68E+08,-3.39E+08,-4.06E+00,-1.92E+01,-1.47E+01,1.47E+03,4.41E+08,2.38E+01
2454293.499, A.D. 2007-Jul-11 23:59:00.0000,-9.52E+07,-3.16E+08,-3.76E+08,-3.76E+00,-1.82E+01,-1.36E+01,1.67E+03,5.00E+08,2.24E+01
2454324.499, A.D. 2007-Aug-11 23:59:00.0000,-1.05E+08,-3.64E+08,-4.11E+08,-3.52E+00,-1.74E+01,-1.26E+01,1.86E+03,5.59E+08,2.13E+01
2454355.499, A.D. 2007-Sep-11 23:59:00.0000,-1.14E+08,-4.10E+08,-4.44E+08,-3.33E+00,-1.67E+01,-1.19E+01,2.05E+03,6.15E+08,2.03E+01
2454385.499, A.D. 2007-Oct-11 23:59:00.0000,-1.23E+08,-4.52E+08,-4.74E+08,-3.17E+00,-1.62E+01,-1.13E+01,2.22E+03,6.66E+08,1.96E+01
2454416.499, A.D. 2007-Nov-11 23:59:00.0000,-1.31E+08,-4.95E+08,-5.03E+08,-3.04E+00,-1.56E+01,-1.07E+01,2.39E+03,7.18E+08,1.89E+01
2454446.499, A.D. 2007-Dec-11 23:59:00.0000,-1.39E+08,-5.35E+08,-5.30E+08,-2.92E+00,-1.52E+01,-1.03E+01,2.55E+03,7.66E+08,1.83E+01
$$EOE,,,,,,,,,,
**************************************************************************************************************************************************************************************************************************************************************************,,,,,,,,,,
 ,,,,,,,,,,
TIME,,,,,,,,,,
,,,,,,,,,,
"  Barycentric Dynamical Time (""TDB"" or T_eph) output was requested. This",,,,,,,,,,
continuous coordinate time is equivalent to the relativistic proper time,,,,,,,,,,
of a clock at rest in a reference frame co-moving with the solar system,,,,,,,,,,
barycenter but outside the system's gravity well. It is the independent,,,,,,,,,,
variable in the solar system relativistic equations of motion.,,,,,,,,,,
,,,,,,,,,,
  TDB runs at a uniform rate of one SI second per second and is independent,,,,,,,,,,
of irregularities in Earth's rotation.,,,,,,,,,,
 ,,,,,,,,,,
CALENDAR SYSTEM,,,,,,,,,,
,,,,,,,,,,
  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15,,,,,,,,,,
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any),,,,,,,,,,
are in the Julian calendar system, which is automatically extended for dates,,,,,,,,,
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for,,,,,,,,,,
matching historical dates. The Gregorian calendar more accurately corresponds,,,,,,,,,,
"to the Earth's orbital motion and seasons. A ""Gregorian-only"" calendar mode is",,,,,,,,,,
available if such physical events are the primary interest.,,,,,,,,,,
,,,,,,,,,,
REFERENCE FRAME AND COORDINATES,,,,,,,,,,
,,,,,,,,,,
  Ecliptic at the standard reference epoch,,,,,,,,,,
,,,,,,,,,,
    Reference epoch: J2000.0,,,,,,,,,,
    X-Y plane: adopted Earth orbital plane at the reference epoch,,,,,,,,,,
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane,,,,,,,,,,
    X-axis   : ICRF,,,,,,,,,,
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense,,,,,,,,,,
               of Earth's north pole at the reference epoch.,,,,,,,,,,
,,,,,,,,,,
  Symbol meaning:,,,,,,,,,,
,,,,,,,,,,
    JDTDB    Julian Day Number, Barycentric Dynamical Time,,,,,,,,,
      X      X-component of position vector (km),,,,,,,,,,
      Y      Y-component of position vector (km),,,,,,,,,,
      Z      Z-component of position vector (km),,,,,,,,,,
      VX     X-component of velocity vector (km/sec)                           ,,,,,,,,,,
      VY     Y-component of velocity vector (km/sec)                           ,,,,,,,,,,
      VZ     Z-component of velocity vector (km/sec)                           ,,,,,,,,,,
      LT     One-way down-leg Newtonian light-time (sec),,,,,,,,,,
      RG     Range, distance from coordinate center (km),,,,,,,,,
      RR     Range-rate, radial velocity wrt coord. center (km/sec),,,,,,,,,
,,,,,,,,,,
ABERRATIONS AND CORRECTIONS,,,,,,,,,,
,,,,,,,,,,
 Geometric state vectors have NO corrections or aberrations applied.,,,,,,,,,,
,,,,,,,,,,
Computations by ...,,,,,,,,,,
,,,,,,,,,,
    Solar System Dynamics Group, Horizons On-Line Ephemeris System,,,,,,,,,
    4800 Oak Grove Drive, Jet Propulsion Laboratory,,,,,,,,,
    Pasadena, CA  91109   USA,,,,,,,,,
,,,,,,,,,,
    General site: https://ssd.jpl.nasa.gov/,,,,,,,,,,
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html,,,,,,,,,,
    System news : https://ssd.jpl.nasa.gov/horizons/news.html,,,,,,,,,,
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html,,,,,,,,,,
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x,,,,,,,,,,
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html,,,,,,,,,,
                  command-line   telnet ssd.jpl.nasa.gov 6775,,,,,,,,,,
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt,,,,,,,,,,
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS,,,,,,,,,,
    Author      : Jon.D.Giorgini@jpl.nasa.gov,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
