"2458739.499305556, A.D. 2019-Sep-12 23:59:00.0000, -1.244304220272204E+07, -5.359190550374249E+07,  7.120341779734492E+05,            n.a.,            n.a.,            n.a.,"
"2458769.499305556, A.D. 2019-Oct-12 23:59:00.0000,  6.742914419903126E+07, -9.727557338308533E+07, -3.974221916745402E+06,            n.a.,            n.a.,            n.a.,"
"2458800.499305556, A.D. 2019-Nov-12 23:59:00.0000,  1.145977361101120E+08, -7.865958008201623E+07, -6.747787734989457E+06,            n.a.,            n.a.,            n.a.,"
"2458830.499305556, A.D. 2019-Dec-12 23:59:00.0000,  1.213394110606496E+08, -3.322433191805839E+07, -7.150583354510004E+06,            n.a.,            n.a.,            n.a.,"
"2458861.499305556, A.D. 2020-Jan-12 23:59:00.0000,  6.895281255116284E+07,  2.329814438776197E+07, -3.704844021789362E+06,            n.a.,            n.a.,            n.a.,"
"2458892.499305556, A.D. 2020-Feb-12 23:59:00.0000,  1.893319868292580E+07, -6.391650848755398E+07, -2.015437714797407E+06,            n.a.,            n.a.,            n.a.,"
"2458921.499305556, A.D. 2020-Mar-12 23:59:00.0000,  9.213598125090887E+07, -7.600197778838798E+07, -6.406811153824978E+06,            n.a.,            n.a.,            n.a.,"
"2458952.499305556, A.D. 2020-Apr-12 23:59:00.0000,  1.202086169236962E+08, -4.277614150936845E+07, -7.572105527645333E+06,            n.a.,            n.a.,            n.a.,"
"2458982.499305556, A.D. 2020-May-12 23:59:00.0000,  9.315065264313848E+07,  8.042598995830241E+06, -5.314311200993909E+06,            n.a.,            n.a.,            n.a.,"
"2459013.499305556, A.D. 2020-Jun-12 23:59:00.0000, -1.311831799602056E+07, -3.354614172384457E+07,  2.472570428034980E+05,            n.a.,            n.a.,            n.a.,"
"2459043.499305556, A.D. 2020-Jul-12 23:59:00.0000,  7.618447670056498E+07, -7.893784933539030E+07, -5.529071011221141E+06,            n.a.,            n.a.,            n.a.,"
"2459074.499305556, A.D. 2020-Aug-12 23:59:00.0000,  1.057601803968746E+08, -5.164102885216729E+07, -6.848880971802812E+06,            n.a.,            n.a.,            n.a.,"
"2459105.499305556, A.D. 2020-Sep-12 23:59:00.0000,  6.842275463844584E+07,  5.581313048965307E+06, -3.906221829388798E+06,            n.a.,            n.a.,            n.a.,"
"2459135.499305556, A.D. 2020-Oct-12 23:59:00.0000,  2.703662798152011E+07, -6.652657392092671E+07, -2.533690908842433E+06,            n.a.,            n.a.,            n.a.,"
"2459166.499305556, A.D. 2020-Nov-12 23:59:00.0000,  9.215361389979233E+07, -7.411714389463323E+07, -6.382210138863236E+06,            n.a.,            n.a.,            n.a.,"
"2459196.499305556, A.D. 2020-Dec-12 23:59:00.0000,  1.032528654266003E+08, -3.637341363524194E+07, -6.494354509103395E+06,            n.a.,            n.a.,            n.a.,"
"2459227.499305556, A.D. 2021-Jan-12 23:59:00.0000,  2.473937274072909E+07,  2.210367507029799E+07, -1.167589669849668E+06,            n.a.,            n.a.,            n.a.,"
"2459258.499305556, A.D. 2021-Feb-12 23:59:00.0000,  5.578273787150697E+07, -7.782150258664809E+07, -4.345101991376415E+06,            n.a.,            n.a.,            n.a.,"
"2459286.499305556, A.D. 2021-Mar-12 23:59:00.0000,  9.427950000901414E+07, -6.602863031200902E+07, -6.403256110492680E+06,            n.a.,            n.a.,            n.a.,"
"2459317.499305556, A.D. 2021-Apr-12 23:59:00.0000,  7.412707545794943E+07, -1.247733699074151E+07, -4.507314060640287E+06,            n.a.,            n.a.,            n.a.,"
"2459347.499305556, A.D. 2021-May-12 23:59:00.0000,  2.371210929514541E+07, -6.333809193052770E+07, -2.291112872719660E+06,            n.a.,            n.a.,            n.a.,"
"2459378.499305556, A.D. 2021-Jun-12 23:59:00.0000,  8.575641162609366E+07, -7.551563303268972E+07, -6.039610746219601E+06,            n.a.,            n.a.,            n.a.,"
"2459408.499305556, A.D. 2021-Jul-12 23:59:00.0000,  9.140185347478937E+07, -3.649570478463443E+07, -5.831318881513996E+06,            n.a.,            n.a.,            n.a.,"
"2459439.499305556, A.D. 2021-Aug-12 23:59:00.0000, -1.077833890846213E+07, -2.372367109927163E+07,  2.415434703829307E+05,            n.a.,            n.a.,            n.a.,"
"2459470.499305556, A.D. 2021-Sep-12 23:59:00.0000,  7.115783062122737E+07, -7.965158882680941E+07, -5.253766029241350E+06,            n.a.,            n.a.,            n.a.,"
"2459500.499305556, A.D. 2021-Oct-12 23:59:00.0000,  9.616409803939597E+07, -5.426028278996495E+07, -6.349335313199628E+06,            n.a.,            n.a.,            n.a.,"
"2459531.499305556, A.D. 2021-Nov-12 23:59:00.0000,  5.010432381836627E+07,  3.984563112517188E+06, -2.884764385640814E+06,            n.a.,            n.a.,            n.a.,"
"2459561.499305556, A.D. 2021-Dec-12 23:59:00.0000,  5.331494142188089E+07, -7.005834656966804E+07, -4.103741863232296E+06,            n.a.,            n.a.,            n.a.,"
"2459592.499305556, A.D. 2022-Jan-12 23:59:00.0000,  9.473455033104081E+07, -5.897326001808306E+07, -6.333473479603708E+06,            n.a.,            n.a.,            n.a.,"
"2459623.499305556, A.D. 2022-Feb-12 23:59:00.0000,  6.502353720535082E+07, -5.845529641355820E+06, -3.880131173422724E+06,            n.a.,            n.a.,            n.a.,"
"2459651.499305556, A.D. 2022-Mar-12 23:59:00.0000,  3.678475385800623E+07, -6.366314799530299E+07, -3.061574456234772E+06,            n.a.,            n.a.,            n.a.,"
"2459682.499305556, A.D. 2022-Apr-12 23:59:00.0000,  9.118415389120677E+07, -6.539434833824767E+07, -6.217544544226341E+06,            n.a.,            n.a.,            n.a.,"
"2459712.499305556, A.D. 2022-May-12 23:59:00.0000,  8.148169980472535E+07, -2.154041730243128E+07, -5.045637294169244E+06,            n.a.,            n.a.,            n.a.,"
"2459743.499305556, A.D. 2022-Jun-12 23:59:00.0000,  2.345733818019670E+07, -5.594348779409927E+07, -2.184741248108741E+06,            n.a.,            n.a.,            n.a.,"
"2459773.499305556, A.D. 2022-Jul-12 23:59:00.0000,  8.627469613065334E+07, -6.946130896789812E+07, -5.989924515298326E+06,            n.a.,            n.a.,            n.a.,"
"2459804.499305556, A.D. 2022-Aug-12 23:59:00.0000,  8.766610950601861E+07, -3.001930246272835E+07, -5.518158101991365E+06,            n.a.,            n.a.,            n.a.,"
"2459835.499305556, A.D. 2022-Sep-12 23:59:00.0000,  8.206409135630724E+06, -4.358612130557673E+07, -1.131815643565044E+06,            n.a.,            n.a.,            n.a.,"
"2459865.499305556, A.D. 2022-Oct-12 23:59:00.0000,  8.102989229580338E+07, -7.177922833908287E+07, -5.717960810240127E+06,            n.a.,            n.a.,            n.a.,"
"2459896.499305556, A.D. 2022-Nov-12 23:59:00.0000,  9.189998099657582E+07, -3.783454464147961E+07, -5.868494268895680E+06,            n.a.,            n.a.,            n.a.,"
"2459926.499305556, A.D. 2022-Dec-12 23:59:00.0000, -1.146471746029123E+07, -1.211217029009657E+07,  4.434256972921961E+05,            n.a.,            n.a.,            n.a.,"
"2459957.499305556, A.D. 2023-Jan-12 23:59:00.0000,  7.464887825117654E+07, -7.309180373016019E+07, -5.365919953205999E+06,            n.a.,            n.a.,            n.a.,"
"2459988.499305556, A.D. 2023-Feb-12 23:59:00.0000,  9.447797475907651E+07, -4.497319797888771E+07, -6.113513003224025E+06,            n.a.,            n.a.,            n.a.,"
"2460016.499305556, A.D. 2023-Mar-12 23:59:00.0000,  3.272497734912891E+07,  1.082297718896228E+07, -1.777093000153730E+06,            n.a.,            n.a.,            n.a.,"
"2460047.499305556, A.D. 2023-Apr-12 23:59:00.0000,  6.315032127395800E+07, -7.283635794724450E+07, -4.696950208608259E+06,            n.a.,            n.a.,            n.a.,"
$$EOE
*****************************************************************************************************************************************************************************
 
TIME

"  Barycentric Dynamical Time (""TDB"" or T_eph) output was requested. This"
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
"are in the Julian calendar system, which is automatically extended for dates"
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
"to the Earth's orbital motion and seasons. A ""Gregorian-only"" calendar mode is"
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  Ecliptic at the standard reference epoch

    Reference epoch: J2000.0
    X-Y plane: adopted Earth orbital plane at the reference epoch
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane
    X-axis   : ICRF
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense
               of Earth's north pole at the reference epoch.

  Symbol meaning:

"    JDTDB    Julian Day Number, Barycentric Dynamical Time"
      X      X-component of position vector (km)
      Y      Y-component of position vector (km)
      Z      Z-component of position vector (km)
      X_s    X-direction 1-sigma position uncertainty (km)                     
      Y_s    Y-direction 1-sigma position uncertainty (km)                     
      Z_s    Z-direction 1-sigma position uncertainty (km)                     

"   ""n.a."" indicates the value for that field is not currently available."

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

"    Solar System Dynamics Group, Horizons On-Line Ephemeris System"
"    4800 Oak Grove Drive, Jet Propulsion Laboratory"
"    Pasadena, CA  91109   USA"

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
